...................................................................................................................................................................................,,,AM: PRESENT,,,WAS:  PAST TENSE,,,WILL BE:  FUTURE TENSE
.....................................................................................................................................................................................................................................................................................................................................,,,,,,,,,
I feel,happy,about,,,about,,,about,
,,,myself,,,myself,,,myself
,,,my behavior today,,,my behavior today,,,my behavior today
,,,making a friend,,,making a friend,,,making a friend
,,,,,,,,,
,,when,,,when,,,when,
,,,I succeed,,,I succeeded,,,I succeed
,,,you trust me,,,you trusted me,,,you trust me
,,,I get my way,,,I got my way,,,I get my way
,,that,,,that,,,that,
,,,I am organized,,,I was organized,,,I will be organized
,,,I am going to school,,,I got to go to school,,,I am going to school
,,,,,,,,,
Do you feel,happy,about,,,about,,,about,
,,,me,,,me,,,me
,,,how you are behaving,,,how you behaved,,,how you behave
,,,making a friend,,,making a friend,,,making a friend
,,,,,,,,,
,,when,you are respected,,when,you were respected,,when,you are respected
,,,you succeed,,,you succeeded,,,you succeed
,,,you get your way,,,you got your way,,,you get your way
,,,,,,,,,
,,that,,,that,,,that,
 ,,,you are organized,,,you were organized,,,you will be organized
,,,school is finished,,,school was finished,,,school is finished
,,,,,,,,,
I feel,sad,about,losing someone special,,about,losing someone special,,if,I lose someone special
,,,loving someone who doesn't love me,,,someone not loving me back,,,somebody doesn't love me back
,,,being lonely,,,being lonely,,,I am alone
,,,,,,,,,
,,that,you are not here,,that,you were not here,,if,you are not here
,,,I am alone,,,I was alone,,,I am alone
,,,you are ignoring me,,,you were ignoring me,,,you ignore me
,,,,,,,,,
,,because,nobody likes me,,because,nobody liked me,,if,you are not here
,,,I never say the right things,,,IÂ never say the right things,,,I don't say the right things
,,,,,,,,,
Do you feel,sad,about,losing someone special,,about,losing someone special,,if,you lose someone special
,,,loving someone who doesn't love you,,,someone not loving you back,,,you love someone who doesn't love you back
,,,being lonely,,,being lonely,,,you are alone
,,,,,,,,,
,,that,I am not here,,that,I was not here,,if,I am not here
,,,you are all alone,,,you were all alone,,,you are all alone
,,,I am ignoring you,,,I was ignoring you,,,I ignore you
,,,,,,,,,
,,because,nobody likes you,,because,nobody liked you,,if,nobody likes you
,,,you never say the right things,,,you didn't say the right things,,,you never say the right things
,,,,,,,,,
I feel,angry,about,,,about,,,if,
,,,not getting my way,,,not getting my way,,,I don't get my way
,,,being made fun of,,,you making fun of me,,,you make fun of me
,,,what you are doing,,,what you did,,,you do something bad
,,,being ignored,,,being ignored,,,I am ignored
,,,,,,,,,
,,because,,,because,,,if,
,,,you ignored me,,,you ignored me,,,you ignore me
,,,you lied to me,,,you lied to me,,,you lie to me
,,,you hurt my feelings,,,you hurt my feelings,,,you hurt my feelings
,,,you are being mean,,,you were being mean,,,you are mean
,,,,,,,,,
Do you feel,angry,about,,,about,,,if,
,,,not getting your way,,,not getting your way,,,you don't get your way
,,,being made fun of,,,being made fun of,,,you are made fun of
,,,what I am doing,,,what I did,,,I do something bad
,,,being ignored,,,being ignored,,,you are ignored
,,,,,,,,,
,,because,,,because,,,if,
,,,you are being ignored,,,you were ignored,,,someone ignores you
,,,you were lied to,,,you were lied to,,,you are lied to
,,,I hurt your feelings,,,I hurt your feelings,,,I hurt your feelings
,,,I am mean to you,,,I was mean to you,,,I am mean to you
,,,,,,,,,
I feel,frustrated,about,losing,,about,losing,,if,I lose
,,,not being able to understand,,,not being able to understand,,,I can't understand
,,,forgetting things,,,forgetting things,,,I keep forgetting things
,,,,,,,,,
,,when,you treat me like I'm stupid,,when,you treated me like I'm stupid,,if,you treat me like I'm stupid
,,,you ignore me,,,you ignored me,,,you ignore me
,,,I can't express myself,,,I couldn't express myself,,,I can't expresss myself
,,,,,,,,,
,,that,I can't understand things,,,I couldn't understand,,,I can't understand things
,,,I'm not included,,,I wasn't included,,,I'm not included
,,,,,,,,,
Do you feel,frustrated,about,losing,,about,losing,,if,you lose
,,,not being able to understand,,,not being able to understand,,,you can't understand
,,,forgetting things,,,forgetting things,,,you keep forgetting things
,,,,,,,,,
,,when,I treat you like you are stupid,,when,I treated you like you were stupid,,if,I treat you like you are stupid
,,,I ignore you,,,I ignored you,,,I ignore you
,,,you can't express yourself,,,you couldn't express yourself,,,you can't express yourself
,,,,,,,,,
,,that,you can't understand things,,,you couldn't understand,,if,you can't understand things
,,,you're not included,,,you weren't included,,,you aren't included
,,,,,,,,,
I feel,worried,about,how I look,,,how I looked,,if,I don't look good
,,,what people think about me,,,what people thought about me,,,people don't like me
,,,not getting a job,,,not getting a job,,,I don't get a job
,,,not having friends,,,not having friends,,,I don't have friends
,,,,,,,,,
,,because,,,,,,,
,,,I can't talk to people,,,I couldn't talk to people,,if,I can't talk to people
,,,I'm not good at sports,,,I wasn't good at sports,,,I'm not good at sports
,,,people aren't nice to me,,,people weren't nice to me,,,people aren't nice to me
,,,,,,,,,
,,,,,,,,,
Do you feel,worried,about,how you look,,,how you looked,,if,you don't look good
,,,what people think about you,,,what people thought about you,,,people don't like you
,,,not getting a job,,,not getting a job,,,you don't get a job
,,,not having friends,,,not having friends,,,you don't make friends
,,,,,,,,,
,,because,,,,,,,
,,,you can't talk to people,,,you couldn't talk to people,,if,you can't talk to people
,,,you're not good at sports,,,you weren't good at sports,,,you're not good at sports
,,,people aren't nice to you,,,people weren't nice to you,,,people aren't nice to you
,,,,,,,,,
,,,,,,,,,
I feel,scared,that,you will leave me,,that,you left me,,if,you leave me
,,,people won't like me,,,people wouldn't like me,,,people don't like me
,,,I may fail,,,I might fail,,,I fail
,,,,,,,,,
,,of,loud noises,,of,loud noises,,if,I hear loud noises
,,,being alone,,,being alone,,,I am alone
,,,disappointing you,,,disappointing you,,,I disappoint you
,,,,,,,,,
,,because,I am all alone,,because,I was all alone,,if,I am alone
,,,I think I will fail,,,I thought I'd fail,,,I think I may fail
,,,,,,,,,
Do you feel,scared,that,I will leave you,,that,I left you,,if,I leave you
,,,people won't like you,,,people wouldn't like you,,,people don't like you
,,,you may fail,,,you might fail,,,you fail
,,,,,,,,,
,,of,loud noises,,of,loud noises,,if,you hear loud noises
,,,being alone,,,being alone,,,you are alone
,,,disappointing me,,,disappointing me,,,you disappoint me
,,,,,,,,,
,,because,you are all alone,,because,you were alone,,if,you are all alone
,,,you think you will fail,,,you thought you'd fail,,,you think you will fail
,,,,,,,,,